iter=0, S=[5000, 30000], exptime=5320000.0
iter=1, S=[5000, 30000], exptime=5320000.0
iter=2, S=[4898, 29806], exptime=5600000.0
iter=3, S=[4976, 29723], exptime=5379120.0
iter=4, S=[5155, 29724], exptime=5204850.0
iter=5, S=[5155, 29724], exptime=5204850.0
iter=6, S=[5183, 29538], exptime=5057455.0
iter=7, S=[5322, 29681], exptime=5277592.0
iter=8, S=[5406, 29520], exptime=5180444.0
iter=9, S=[5272, 29678], exptime=5623086.0
iter=10, S=[5300, 29703], exptime=5487150.0
iter=11, S=[5198, 29767], exptime=4865417.0
iter=12, S=[5198, 29767], exptime=4865417.0
iter=13, S=[5097, 29779], exptime=5244750.0
iter=14, S=[4947, 29852], exptime=5126772.0
iter=15, S=[5106, 30043], exptime=5498242.0
iter=16, S=[5036, 30099], exptime=5342648.0
iter=17, S=[4918, 29963], exptime=5445925.0
iter=18, S=[4986, 29854], exptime=5371674.0
iter=19, S=[4896, 29673], exptime=5400200.0
iter=20, S=[5032, 29622], exptime=5600178.0
iter=21, S=[5032, 29622], exptime=5600178.0
iter=22, S=[5029, 29814], exptime=5509986.0
iter=23, S=[5043, 29749], exptime=5156764.0
iter=24, S=[5065, 29860], exptime=5566720.0
iter=25, S=[4931, 29701], exptime=5867400.0
iter=26, S=[4777, 29617], exptime=5264064.0
iter=27, S=[4855, 29688], exptime=5468646.0
iter=28, S=[4831, 29692], exptime=5526880.0
iter=29, S=[4948, 29569], exptime=5212973.0
iter=30, S=[4759, 29474], exptime=5522720.0
iter=31, S=[4880, 29527], exptime=5511513.0
iter=32, S=[4696, 29477], exptime=5539527.0
iter=33, S=[4537, 29645], exptime=5536026.0
iter=34, S=[4537, 29645], exptime=5536026.0
iter=35, S=[4610, 29559], exptime=5674212.0
iter=36, S=[4692, 29471], exptime=5569547.0
iter=37, S=[4742, 29292], exptime=5466080.0
iter=38, S=[4742, 29292], exptime=5466080.0
iter=39, S=[4929, 29353], exptime=5479474.0
iter=40, S=[4957, 29458], exptime=5279428.0
iter=41, S=[4967, 29459], exptime=5334325.0
iter=42, S=[4934, 29350], exptime=5095048.0
iter=43, S=[4885, 29527], exptime=5382588.0
iter=44, S=[4872, 29433], exptime=5092976.0
iter=45, S=[4964, 29385], exptime=5420190.0
iter=46, S=[4843, 29476], exptime=5083652.0
iter=47, S=[4843, 29476], exptime=5083652.0
iter=48, S=[4732, 29467], exptime=5216488.0
iter=49, S=[4678, 29620], exptime=5642835.0
iter=50, S=[4626, 29499], exptime=5213296.0
iter=51, S=[4626, 29499], exptime=5213296.0
iter=52, S=[4435, 29592], exptime=5869500.0
iter=53, S=[4398, 29664], exptime=5274185.0
iter=54, S=[4398, 29664], exptime=5274185.0
iter=55, S=[4398, 29664], exptime=5274185.0
iter=56, S=[4398, 29664], exptime=5274185.0
iter=57, S=[4398, 29664], exptime=5274185.0
iter=58, S=[4477, 29625], exptime=5586168.0
iter=59, S=[4408, 29780], exptime=5490422.0
iter=60, S=[4408, 29780], exptime=5490422.0
iter=61, S=[4578, 29817], exptime=5709396.0
iter=62, S=[4470, 29951], exptime=5537595.0
iter=63, S=[4296, 29785], exptime=6161359.0
iter=64, S=[4449, 29673], exptime=6100499.0
iter=65, S=[4518, 29723], exptime=5732496.0
iter=66, S=[4513, 29891], exptime=5615524.0
iter=67, S=[4589, 29904], exptime=5642256.0
iter=68, S=[4589, 29904], exptime=5642256.0
iter=69, S=[4432, 29918], exptime=5656852.0
iter=70, S=[4372, 29946], exptime=5908200.0
iter=71, S=[4484, 30053], exptime=5902696.0
iter=72, S=[4380, 30047], exptime=5525920.0
iter=73, S=[4380, 30047], exptime=5525920.0
iter=74, S=[4191, 30133], exptime=5921444.0
iter=75, S=[4191, 30133], exptime=5921444.0
iter=76, S=[4380, 30278], exptime=5766432.0
iter=77, S=[4331, 30416], exptime=5787886.0
iter=78, S=[4180, 30483], exptime=6080725.0
iter=79, S=[4250, 30553], exptime=6135351.0
iter=80, S=[4164, 30670], exptime=6194934.0
iter=81, S=[4051, 30506], exptime=6095950.0
iter=82, S=[3940, 30316], exptime=6047475.0
iter=83, S=[3891, 30219], exptime=6371616.0
iter=84, S=[4018, 30037], exptime=5901030.0
iter=85, S=[4018, 30037], exptime=5901030.0
iter=86, S=[3999, 30016], exptime=6163955.0
iter=87, S=[4027, 29977], exptime=6156715.0
iter=88, S=[4144, 30042], exptime=6120720.0
iter=89, S=[4158, 29971], exptime=6016736.0
iter=90, S=[4304, 30009], exptime=5699543.0
iter=91, S=[4351, 30157], exptime=6313592.0
iter=92, S=[4323, 30338], exptime=5935376.0
iter=93, S=[4367, 30475], exptime=5788387.0
iter=94, S=[4287, 30631], exptime=5748930.0
iter=95, S=[4444, 30521], exptime=6040814.0
iter=96, S=[4248, 30691], exptime=5874120.0
iter=97, S=[4339, 30723], exptime=5939630.0
iter=98, S=[4502, 30865], exptime=5890416.0
iter=99, S=[4336, 30784], exptime=5800188.0
iter=100, S=[4142, 30900], exptime=5865040.0
iter=101, S=[4142, 30900], exptime=5865040.0
iter=102, S=[4142, 30900], exptime=5865040.0
iter=103, S=[4142, 30900], exptime=5865040.0
iter=104, S=[4038, 31042], exptime=5852014.0
iter=105, S=[4038, 31042], exptime=5852014.0
iter=106, S=[4038, 31042], exptime=5852014.0
iter=107, S=[3899, 30977], exptime=6349480.0
iter=108, S=[3899, 30977], exptime=6349480.0
iter=109, S=[3943, 30991], exptime=6556688.0
iter=110, S=[3937, 31032], exptime=6812130.0
iter=111, S=[3919, 30837], exptime=6783986.0
iter=112, S=[3933, 31029], exptime=6256080.0
iter=113, S=[3856, 30984], exptime=6363084.0
iter=114, S=[3932, 30902], exptime=6828640.0
iter=115, S=[3755, 31055], exptime=6827464.0
iter=116, S=[3566, 31176], exptime=6996810.0
iter=117, S=[3456, 31020], exptime=6809432.0
iter=118, S=[3456, 31020], exptime=6809432.0
iter=119, S=[3432, 31001], exptime=7274436.0
iter=120, S=[3467, 30917], exptime=6989899.0
iter=121, S=[3308, 30777], exptime=7048720.0
iter=122, S=[3416, 30756], exptime=7294190.0
iter=123, S=[3510, 30799], exptime=6936916.0
iter=124, S=[3433, 30671], exptime=6553019.0
iter=125, S=[3471, 30846], exptime=6445656.0
iter=126, S=[3471, 30846], exptime=6445656.0
iter=127, S=[3471, 30846], exptime=6445656.0
iter=128, S=[3471, 30846], exptime=6445656.0
iter=129, S=[3636, 30665], exptime=6623181.0
iter=130, S=[3636, 30665], exptime=6623181.0
iter=131, S=[3698, 30616], exptime=7031705.0
iter=132, S=[3749, 30454], exptime=6691230.0
iter=133, S=[3749, 30595], exptime=6361758.0
iter=134, S=[3749, 30595], exptime=6361758.0
iter=135, S=[3713, 30552], exptime=6353640.0
iter=136, S=[3777, 30482], exptime=6681675.0
iter=137, S=[3698, 30538], exptime=6509210.0
iter=138, S=[3809, 30721], exptime=6367896.0
iter=139, S=[3968, 30839], exptime=6698820.0
iter=140, S=[4135, 30943], exptime=6230453.0
iter=141, S=[4135, 30943], exptime=6230453.0
iter=142, S=[4148, 30800], exptime=6103572.0
iter=143, S=[4178, 30768], exptime=5801368.0
iter=144, S=[4026, 30778], exptime=6150496.0
iter=145, S=[3931, 30970], exptime=6229916.0
iter=146, S=[3853, 30952], exptime=6666091.0
iter=147, S=[3659, 30896], exptime=6682560.0
iter=148, S=[3563, 30754], exptime=6669115.0
iter=149, S=[3563, 30754], exptime=6669115.0
iter=150, S=[3464, 30604], exptime=6726132.0
iter=151, S=[3401, 30416], exptime=6643260.0
iter=152, S=[3401, 30416], exptime=6643260.0
iter=153, S=[3533, 30501], exptime=7000119.0
iter=154, S=[3662, 30587], exptime=6398392.0
iter=155, S=[3760, 30475], exptime=6404563.0
iter=156, S=[3760, 30475], exptime=6404563.0
iter=157, S=[3760, 30475], exptime=6404563.0
iter=158, S=[3784, 30600], exptime=6641590.0
