iter=0, S=[5000, 30000], exptime=5950000.0
iter=1, S=[4890, 30170], exptime=5460000.0
iter=2, S=[4730, 30296], exptime=5469360.0
iter=3, S=[4730, 30296], exptime=5469360.0
iter=4, S=[4910, 30148], exptime=5323952.0
iter=5, S=[4978, 30276], exptime=5363874.0
iter=6, S=[4980, 30193], exptime=5358608.0
iter=7, S=[4980, 30193], exptime=5358608.0
iter=8, S=[4980, 30193], exptime=5358608.0
iter=9, S=[4914, 30232], exptime=5275950.0
iter=10, S=[4914, 30232], exptime=5275950.0
iter=11, S=[4895, 30411], exptime=5377338.0
iter=12, S=[4895, 30411], exptime=5377338.0
iter=13, S=[5039, 30308], exptime=5684266.0
iter=14, S=[5066, 30245], exptime=5655520.0
iter=15, S=[5251, 30259], exptime=5826315.0
iter=16, S=[5276, 30258], exptime=5290990.0
iter=17, S=[5276, 30258], exptime=5290990.0
iter=18, S=[5276, 30258], exptime=5290990.0
iter=19, S=[5315, 30456], exptime=5543304.0
iter=20, S=[5390, 30604], exptime=5437192.0
iter=21, S=[5212, 30757], exptime=5255124.0
iter=22, S=[5155, 30905], exptime=5107598.0
iter=23, S=[5155, 30905], exptime=5107598.0
iter=24, S=[5271, 31101], exptime=5661420.0
iter=25, S=[5443, 31060], exptime=5674032.0
iter=26, S=[5544, 31202], exptime=5146923.0
iter=27, S=[5667, 31040], exptime=5181186.0
iter=28, S=[5512, 31064], exptime=5322515.0
iter=29, S=[5597, 31059], exptime=5449824.0
iter=30, S=[5505, 31025], exptime=5241808.0
iter=31, S=[5698, 31021], exptime=5406440.0
iter=32, S=[5593, 30988], exptime=5360974.0
iter=33, S=[5497, 30936], exptime=5011597.0
iter=34, S=[5497, 30936], exptime=5011597.0
iter=35, S=[5497, 30936], exptime=5011597.0
iter=36, S=[5497, 30936], exptime=5011597.0
iter=37, S=[5439, 30955], exptime=5137053.0
iter=38, S=[5439, 30955], exptime=5137053.0
iter=39, S=[5468, 30992], exptime=5277130.0
iter=40, S=[5468, 30992], exptime=5277130.0
