iter=0, S=[5000, 30000], exptime=5481000.0
iter=1, S=[4786, 31103], exptime=5348000.0
iter=2, S=[4951, 31768], exptime=5756595.6
iter=3, S=[5128, 34911], exptime=5757539.2
iter=4, S=[5205, 37995], exptime=6222060.6
iter=5, S=[4765, 36989], exptime=6454080.0
iter=6, S=[4339, 38634], exptime=6830954.4
iter=7, S=[4029, 36522], exptime=7442923.6
iter=8, S=[3643, 38405], exptime=7347841.2
iter=9, S=[3663, 38575], exptime=8148902.4
iter=10, S=[3647, 41349], exptime=8109696.0
iter=11, S=[3328, 43733], exptime=8765220.8
iter=12, S=[3117, 42165], exptime=10202824.8
iter=13, S=[2836, 45294], exptime=10197506.4
iter=14, S=[2675, 40988], exptime=11233542.0
iter=15, S=[2758, 39382], exptime=10662504.6
iter=16, S=[2952, 40620], exptime=10088316.0
iter=17, S=[3007, 38865], exptime=9855986.4
iter=18, S=[2916, 35052], exptime=9588688.0
iter=19, S=[2731, 36535], exptime=8808576.0
iter=20, S=[2876, 37080], exptime=9659436.0
iter=21, S=[2945, 37833], exptime=9501536.8
iter=22, S=[3094, 37242], exptime=9387095.6
iter=23, S=[3283, 34843], exptime=8978793.6
iter=24, S=[3261, 35707], exptime=8151338.8
iter=25, S=[3256, 32472], exptime=8518404.8
iter=26, S=[3472, 34984], exptime=7602918.4
iter=27, S=[3348, 37926], exptime=7945009.6
iter=28, S=[3281, 36252], exptime=8708814.0
iter=29, S=[3183, 39734], exptime=8412622.4
iter=30, S=[2992, 43152], exptime=9209988.2
iter=31, S=[2790, 39685], exptime=10391628.8
iter=32, S=[2673, 36817], exptime=10329920.0
iter=33, S=[2421, 40275], exptime=9667152.0
iter=34, S=[2444, 37284], exptime=11493763.2
iter=35, S=[2391, 35297], exptime=10821907.2
iter=36, S=[2410, 38522], exptime=10085308.8
iter=37, S=[2538, 42130], exptime=11321791.2
iter=38, S=[2628, 41921], exptime=11488609.6
iter=39, S=[2772, 41327], exptime=11244167.6
iter=40, S=[2543, 38648], exptime=10698417.4
iter=41, S=[2435, 38867], exptime=10651992.6
iter=42, S=[2246, 38949], exptime=11391091.6
iter=43, S=[2031, 39014], exptime=12127808.0
iter=44, S=[1994, 38696], exptime=13331416.0
iter=45, S=[1987, 38740], exptime=13028938.0
iter=46, S=[1844, 35044], exptime=13195548.0
iter=47, S=[2003, 35507], exptime=12792758.4
iter=48, S=[1962, 34089], exptime=11853160.0
iter=49, S=[1826, 37479], exptime=11500269.0
iter=50, S=[1783, 38533], exptime=13450171.0
iter=51, S=[1712, 36361], exptime=14239611.2
iter=52, S=[1791, 33614], exptime=13774811.4
iter=53, S=[1791, 33614], exptime=13774811.4
iter=54, S=[1803, 35678], exptime=12582937.0
iter=55, S=[1747, 33492], exptime=13133342.4
iter=56, S=[1699, 30428], exptime=12608514.2
iter=57, S=[1722, 29534], exptime=11951244.0
iter=58, S=[1757, 27071], exptime=11320923.2
iter=59, S=[1696, 24920], exptime=10752844.0
iter=60, S=[1763, 25280], exptime=9752102.4
iter=61, S=[1786, 26133], exptime=9535361.8
iter=62, S=[1779, 24089], exptime=9950331.6
iter=63, S=[1683, 22917], exptime=9193487.2
iter=64, S=[1815, 20695], exptime=9042960.0
iter=65, S=[1780, 22011], exptime=7887504.0
iter=66, S=[1830, 22070], exptime=8483870.6
iter=67, S=[1761, 20020], exptime=8374560.0
iter=68, S=[1586, 21101], exptime=7893434.4
iter=69, S=[1728, 19204], exptime=8589298.2
iter=70, S=[1675, 18885], exptime=7795076.8
iter=71, S=[1582, 19244], exptime=7549632.0
iter=72, S=[1692, 18524], exptime=8092983.6
iter=73, S=[1623, 18358], exptime=7483963.2
iter=74, S=[1473, 17976], exptime=7716662.2
iter=75, S=[1615, 17858], exptime=8001318.6
iter=76, S=[1615, 17858], exptime=8001318.6
iter=77, S=[1637, 18484], exptime=7648994.4
iter=78, S=[1592, 19706], exptime=7485012.0
iter=79, S=[1643, 18909], exptime=8408450.4
iter=80, S=[1547, 17240], exptime=7661785.6
iter=81, S=[1672, 17879], exptime=7608735.0
iter=82, S=[1811, 18775], exptime=7386367.8
iter=83, S=[1841, 18268], exptime=7200982.8
iter=84, S=[1852, 18433], exptime=6929561.4
iter=85, S=[1833, 19007], exptime=6994268.0
iter=86, S=[1842, 17804], exptime=7369024.0
iter=87, S=[1964, 18047], exptime=6785728.4
iter=88, S=[1851, 18942], exptime=6595625.6
iter=89, S=[2009, 19008], exptime=7127840.4
iter=90, S=[2192, 18722], exptime=6742253.6
iter=91, S=[2077, 17501], exptime=6270017.2
iter=92, S=[2119, 17217], exptime=6276706.8
iter=93, S=[2107, 18360], exptime=5943886.4
iter=94, S=[2312, 18532], exptime=6226061.4
