iter=0, S=[5000, 30000], exptime=5390000.0
iter=1, S=[5126, 31175], exptime=5593000.0
iter=2, S=[5293, 29550], exptime=5604874.4
iter=3, S=[5367, 27079], exptime=5191607.0
iter=4, S=[5007, 24858], exptime=4821475.6
iter=5, S=[5132, 25978], exptime=4569345.0
iter=6, S=[5544, 27831], exptime=5002488.0
iter=7, S=[6090, 27885], exptime=5166450.0
iter=8, S=[5970, 26819], exptime=4851630.0
iter=9, S=[6025, 24733], exptime=4662595.8
iter=10, S=[5963, 24685], exptime=4601396.8
iter=11, S=[5762, 24623], exptime=4456219.2
iter=12, S=[5384, 23341], exptime=4332901.0
iter=13, S=[4856, 25501], exptime=4544295.0
iter=14, S=[5340, 24151], exptime=4857120.0
iter=15, S=[5337, 26085], exptime=4429548.2
iter=16, S=[5358, 27461], exptime=4669309.2
iter=17, S=[5236, 28878], exptime=4909722.4
iter=18, S=[5340, 27370], exptime=5062517.6
iter=19, S=[4821, 25436], exptime=4919584.0
iter=20, S=[5048, 23179], exptime=4877428.4
iter=21, S=[5103, 25428], exptime=4555837.8
iter=22, S=[5222, 25034], exptime=4781154.6
iter=23, S=[5063, 26900], exptime=4719936.0
iter=24, S=[5035, 28863], exptime=4851983.4
iter=25, S=[5498, 31270], exptime=5267749.2
iter=26, S=[5452, 28950], exptime=5368128.0
iter=27, S=[5015, 29502], exptime=5139658.8
iter=28, S=[5280, 32240], exptime=5522720.0
iter=29, S=[4818, 31176], exptime=5800592.0
iter=30, S=[4874, 28429], exptime=5780636.4
iter=31, S=[5111, 25926], exptime=5215249.8
iter=32, S=[5424, 27360], exptime=4816942.4
iter=33, S=[5918, 27894], exptime=4812691.2
iter=34, S=[5918, 27894], exptime=4812691.2
iter=35, S=[5884, 30392], exptime=4841878.4
iter=36, S=[5512, 29719], exptime=4977067.2
iter=37, S=[5058, 32291], exptime=5073264.0
iter=38, S=[5509, 32345], exptime=5908611.8
iter=39, S=[5832, 29469], exptime=5587250.4
iter=40, S=[5984, 27245], exptime=4970380.8
iter=41, S=[6008, 27945], exptime=4751747.0
iter=42, S=[5697, 29374], exptime=4631189.2
iter=43, S=[5294, 29513], exptime=5057238.2
iter=44, S=[5090, 28664], exptime=5311548.2
iter=45, S=[5542, 27051], exptime=5292627.2
iter=46, S=[5649, 29135], exptime=4745540.8
iter=47, S=[6117, 29558], exptime=5064550.4
iter=48, S=[6030, 27298], exptime=4851800.0
iter=49, S=[5532, 28725], exptime=4645923.2
iter=50, S=[5790, 31511], exptime=5076887.4
iter=51, S=[6301, 31176], exptime=5348963.4
iter=52, S=[6121, 29886], exptime=5164330.6
iter=53, S=[5908, 27605], exptime=4947361.8
iter=54, S=[5736, 29224], exptime=4765548.6
iter=55, S=[5792, 28491], exptime=5048224.0
iter=56, S=[6267, 28179], exptime=4854472.8
iter=57, S=[6470, 26136], exptime=4891332.0
iter=58, S=[6404, 27415], exptime=4297470.8
iter=59, S=[6630, 29078], exptime=4619675.4
iter=60, S=[6669, 29904], exptime=4627756.8
iter=61, S=[6176, 29107], exptime=4959298.8
iter=62, S=[5838, 28788], exptime=4996072.8
iter=63, S=[6051, 29106], exptime=5013844.8
iter=64, S=[6290, 28941], exptime=4914948.6
iter=65, S=[6232, 28444], exptime=4861878.0
iter=66, S=[6506, 28122], exptime=4958668.0
iter=67, S=[7060, 29279], exptime=4501640.0
iter=68, S=[7386, 31916], exptime=4782212.4
iter=69, S=[6870, 29543], exptime=4897029.2
iter=70, S=[6246, 27964], exptime=4660864.0
iter=71, S=[5656, 28156], exptime=4488352.0
iter=72, S=[5957, 29812], exptime=5004176.0
iter=73, S=[5904, 30891], exptime=5014813.8
iter=74, S=[5362, 33446], exptime=5129223.0
iter=75, S=[5726, 34492], exptime=5813438.4
iter=76, S=[5333, 32882], exptime=5727043.2
iter=77, S=[4889, 32831], exptime=5823966.0
iter=78, S=[5285, 35260], exptime=5801336.0
iter=79, S=[5741, 35414], exptime=5879025.0
iter=80, S=[5457, 32574], exptime=5753469.0
